campo;alias
TIPO_SERVICO;Tipo de Serviço
DATA_AGENDAMENTO;DATA DE AGENDAMENTO
HORA_ATENDIMENTO;HORA ATENDIMENTO
ESTABELECIMENTO;ESTABELECIMENTO
ESPECIALIDADE_MEDICO;Especialidade
MEDICO;ESPECIALIDADE/MEDICO
CPF_MEDICO;CPF DO MEDICO
CBO_MEDICO;CBO DO MEDICO
MUNICIPIO;MUNICIPIOS
CPF_PACIENTE;CPF DO PACIENTE
PACIENTE;PACIENTE
CNS_PACIENTE;CNS DO PACIENTE
RACA_PACIENTE;RACA DO PACIENTE
DATA_NASCIMENTO;DATA DE NASCIMENTO
CID_CONSULTA;CID DA CONSULTA
TELEFONE;TELEFONE
TIPO_ZONA;TIPO_ZONA
COD_LOGRADOURO;Log
ENDERECO;RUA
CEP;CEP
NUMERO;NUM. IMOVEL
BAIRRO;BAIRRO
COMPLEMENTO;END. COMPLEMENTOS
SEXO_PACIENTE;SEXO
ETNIA_PACIENTE;ETNIA DO PACIENTE
COD_LOGRADOURO;LOGRADOURO
ESTABELECIMENTO;Estabelecimento Paciente
COD_LOGRADOURO;Cod_Logradouro
SITUACAO_RUA;Situação de Rua
SITUACAO_RUA;Pessoa em Situação de Rua
SITUACAO_RUA;Mora na Rua
SITUACAO_RUA;Morador de Rua
PACIENTE_SEM_CPF;Paciente sem CPF
PACIENTE_SEM_CPF;Sem CPF/Registro Civil
PACIENTE_SEM_CPF;Pessoa sem CPF/Registro Civil
PACIENTE_SEM_CPF;Sem CPF
