codigo;nome
0001;ACONA
0002;AIKANA
0003;AJURU
0004;AKUNSU
0005;AMANAYE
0006;AMONDAWA
0007;ANAMBE
0008;APARAI
0009;APIAKA
0010;APINAYE
0011;APURINA
0012;ARANA
0013;ARAPASO
0014;ARARA DE RONDONIA
0015;ARARA DO ACRE
0016;ARARA DO ARIPUANA
0017;ARARA DO PARA
0018;ARAWETE
0019;ARIKAPU
0020;ARIKEM
0021;ARIKOSE
0022;ARUA
0023;ARUAK
0024;ASHANINKA
0025;ASURINI DO TOCANTINS
0026;ASURINI DO XINGU
0027;ATIKUM
0028;AVA-CANOEIRO
0029;AWETI
0030;BAKAIRI
0031;BANAWA YAFI
0032;BANIWA
0033;BARA
0034;BARASANA
0035;BARE
0036;BORORO
0037;BOTOCUDO
0038;CANOE
0039;CASSUPA
0040;CHAMACOCO
0041;CHIQUITANO
0042;CIKIYANA
0043;CINTA LARGA
0044;COLUMBIARA
0045;DENI
0046;DESANA
0047;DIAHUI
0048;ENAWENE-NAWE
0049;FULNI-O
0050;GALIBI
0051;GALIBI MARWORNO
0052;GAVIAO DE RONDONIA
0053;GAVIAO KRIKATEJE
0054;GAVIAO PARKATEJE
0055;GAVIAO PUKOBIE
0056;GUAJA
0057;GUAJAJARA
0058;GUARANI KAIOWA
0059;GUARANI M BYA
0060;GUARANI NANDEVA
0061;GUATO
0062;HIMARIMA
0063;INGARIKO
0064;IRANTXE
0065;ISSE
0066;JABOTI
0067;JAMAMADI
0068;JARAWARA
0069;JIRIPANCO
0070;JUMA
0071;JURUNA
0072;JURUTI
0073;KAAPOR
0074;KADIWEU
0075;KAIABI
0076;KAIMBE
0077;KAINGANG
0078;KAIXANA
0079;KALABASSA
0080;KALANCO
0081;KALAPALO
0082;KAMAYURA
0083;KAMBA
0084;KAMBEBA
0085;KAMBIWA
0086;KAMBIWA PIPIPA
0087;KAMPE
0088;KANAMANTI
0089;KANAMARI
0090;KANELA APANIEKRA
0091;KANELA RANKOKAMEKRA
0092;KANINDE
0093;KANOE
0094;KANTARURE
0095;KAPINAWA
0096;KARAJA
0097;KARAJA/JAVAE
