codigo_ibge;nome_municipio;uf
5000203;Agua Clara;MS
5000252;Alcinopolis;MS
5000609;Amambai;MS
5000708;Anastacio;MS
5000807;Anaurilandia;MS
5000856;Angelica;MS
5000906;Antonio Joao;MS
5001003;Aparecida do Taboado;MS
5001102;Aquidauana;MS
5001243;Aral Moreira;MS
5001508;Bandeirantes;MS
5001904;Bataguassu;MS
5002001;Bataypora;MS
5002100;Bela Vista;MS
5002159;Bodoquena;MS
5002209;Bonito;MS
5002308;Brasilandia;MS
5002407;Caarapo;MS
5002605;Camapua;MS
5002704;Campo Grande;MS
5002803;Caracol;MS
5002902;Cassilandia;MS
5002951;Chapadao do Sul;MS
5003108;Corguinho;MS
5003157;Coronel Sapucaia;MS
5003207;Corumba;MS
5003256;Costa Rica;MS
5003306;Coxim;MS
5003454;Deodapolis;MS
5003488;Dois Irmaos do Buriti;MS
5003504;Douradina;MS
5003702;Dourados;MS
5003751;Eldorado;MS
5003801;Fatima do Sul;MS
5003900;Figueirao;MS
5004007;Gloria de Dourados;MS
5004106;Guia Lopes da Laguna;MS
5004304;Iguatemi;MS
5004403;Inocencia;MS
5004502;Itapora;MS
5004601;Itaquirai;MS
5004700;Ivinhema;MS
5004809;Japora;MS
5004908;Jaraguari;MS
5005004;Jardim;MS
5005103;Jatei;MS
5005152;Juti;MS
5005202;Ladario;MS
5005251;Laguna Carapa;MS
5005400;Maracaju;MS
5005608;Miranda;MS
5005681;Mundo Novo;MS
5005707;Navirai;MS
5005806;Nioaque;MS
5006002;Nova Alvorada do Sul;MS
5006200;Nova Andradina;MS
5006259;Novo Horizonte do Sul;MS
5006275;Paraiso das Aguas;MS
5006309;Paranaiba;MS
5006358;Paranhos;MS
5006408;Pedro Gomes;MS
5006606;Ponta Pora;MS
5006903;Porto Murtinho;MS
5007109;Ribas do Rio Pardo;MS
5007208;Rio Brilhante;MS
5007307;Rio Negro;MS
5007406;Rio Verde de Mato Grosso;MS
5007505;Rochedo;MS
5007554;Santa Rita do Pardo;MS
5007695;Sao Gabriel do Oeste;MS
5007703;Sete Quedas;MS
5007802;Selviria;MS
5007901;Sidrolandia;MS
5007935;Sonora;MS
5007950;Tacuru;MS
5007976;Taquarussu;MS
5008008;Terenos;MS
5008305;Tres Lagoas;MS
5008404;Vicentina;MS
